201130 165731.004|CONFIG|Thread-2|setFileHandlers|Now logging to /usr/local/pc2/logs directory.
201130 165731.004|INFO|Thread-2|info|
201130 165731.004|INFO|Thread-2|info|Version 9 () Java ver 11.0.9.1 build  Linux 5.4.0-1025-aws (amd64) 
201130 165731.005|INFO|Thread-2|info|Login: scoreboard5 (aka scoreboard5)
201130 165731.005|INFO|Thread-2|startLog|Working directory is /usr/local/pc2
201130 165731.005|INFO|Thread-2|startLog|Process id is 47872@scoreboard3
201130 165731.005|INFO|Thread-2|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
201130 165731.006|INFO|Thread-2|info|handlePacket end Packet[LOGIN_SUCCESS] #76 SERVER0 @ site 1 -> SCOREBOARD5 @ site 1
201130 165731.006|INFO|Thread-2|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #76 SERVER0 @ site 1 -> SCOREBOARD5 @ site 1
201130 165731.158|INFO|main|sendToLocalServer|Sending packet to server Packet[LOGOUT] #2 SCOREBOARD5 @ site 1 -> SERVER0 @ site 1
201130 165731.159|INFO|main|sendToLocalServer|Sent    packet to server Packet[LOGOUT] #2 SCOREBOARD5 @ site 1 -> SERVER0 @ site 1
