201130 181106.438|CONFIG|Thread-84|setFileHandlers|Now logging to /usr/local/pc2/logs directory.
201130 181106.438|INFO|Thread-84|info|
201130 181106.438|INFO|Thread-84|info|Version 9 () Java ver 11.0.9.1 build  Linux 5.4.0-1025-aws (amd64) 
201130 181106.439|INFO|Thread-84|info|Login: team1 (aka team1)
201130 181106.439|INFO|Thread-84|startLog|Working directory is /usr/local/pc2
201130 181106.439|INFO|Thread-84|startLog|Process id is 47921@scoreboard3
201130 181106.439|INFO|Thread-84|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
201130 181106.439|INFO|Thread-84|info|handlePacket end Packet[LOGIN_SUCCESS] #93 SERVER0 @ site 1 -> TEAM1 @ site 1
201130 181106.439|INFO|Thread-84|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #93 SERVER0 @ site 1 -> TEAM1 @ site 1
201130 181210.466|INFO|qtp934275857-95|sendToLocalServer|Sending packet to server Packet[LOGOUT] #7 TEAM1 @ site 1 -> SERVER0 @ site 1
201130 181210.467|INFO|qtp934275857-95|sendToLocalServer|Sent    packet to server Packet[LOGOUT] #7 TEAM1 @ site 1 -> SERVER0 @ site 1
