201129 185507.431|CONFIG|qtp1823409783-22|setFileHandlers|Now logging to /usr/local/pc2/logs directory.
201129 185507.432|INFO|qtp1823409783-22|info|
201129 185507.432|INFO|qtp1823409783-22|info|Version 9 () Java ver 11.0.8 build  Linux 5.4.0-1025-aws (amd64) 
201129 185507.432|INFO|qtp1823409783-22|startLog|Working directory is /usr/local/pc2
201129 185507.432|INFO|qtp1823409783-22|startLog|Process id is 15909@scoreboard3
201129 185507.432|INFO|qtp1823409783-22|start|Starting ConnectionManager...
201129 185507.434|INFO|qtp1823409783-22|start|Started ConnectionManager
201129 185507.435|INFO|qtp1823409783-22|setClientServerAndPort|INIFile File location: file:/usr/local/pc2/pc2v9.ini
201129 185507.435|INFO|qtp1823409783-22|setClientServerAndPort|setClientServerAndPort 10.0.3.175 parsed as 10.0.3.175 port 50002
201129 185507.435|INFO|qtp1823409783-22|info|Contacting server at 10.0.3.175:50002
201129 185507.435|INFO|qtp1823409783-22|connectToMyServer|Connecting to 10.0.3.175:50002
